,Unnamed: 0,song_popularity,song_duration_ms,acousticness,danceability,energy,key,liveness,loudness,audio_mode,speechiness,tempo,time_signature,audio_valence
66,66,73.0,235720.0,0.0348,0.823,0.63,7.0,0.0964,3.932,1.0,0.0797,100.04,4.0,0.184
67,67,85.0,223583.0,0.235,0.701,0.512,0.0,0.135,6.869,0.0,0.0969,91.947,4.0,0.663
68,68,61.0,243487.0,0.117,0.695,0.884,0.0,0.104,6.279,1.0,0.131,74.992,4.0,0.854
69,69,58.0,210865.0,0.716,0.722,0.584,11.0,0.115,8.467,0.0,0.318,169.978,4.0,0.646
70,70,92.0,204664.0,0.00381,0.8,0.578,4.0,0.359,5.144,0.0,0.0485,143.01,4.0,0.367
71,71,83.0,215151.0,0.266,0.8170000000000001,0.74,11.0,0.0992,4.566,0.0,0.283,130.04,4.0,0.674
72,72,57.0,202373.0,0.107,0.398,0.0,1.0,0.121,5.626,0.0,0.12,83.828,4.0,0.719
73,73,44.0,162733.0,0.00397,0.812,0.748,5.0,0.174,5.959,0.0,0.139,132.035,4.0,0.158
74,74,47.0,157461.0,0.0526,0.659,0.734,10.0,0.242,4.008,1.0,0.046,161.971,4.0,0.346
75,75,54.0,170997.0,0.232,0.705,0.778,9.0,0.244,4.101,0.0,0.177,160.099,4.0,0.709
76,76,47.0,188440.0,0.0255,0.723,0.687,11.0,0.124,4.632,0.0,0.2,173.747,4.0,0.777
77,77,64.0,253714.0,0.0257,0.928,0.402,8.0,0.0804,7.569,0.0,0.451,139.998,4.0,0.62
78,78,56.0,272000.0,0.902,0.465,0.675,10.0,0.11,7.555,1.0,0.0485,119.941,4.0,0.129
79,79,49.0,174000.0,0.5710000000000001,0.632,0.652,4.0,0.194,10.558,1.0,0.0302,115.031,4.0,0.594
80,80,65.0,209573.0,0.921,0.471,0.179,9.0,0.101,10.273,1.0,0.089,174.273,4.0,0.194
81,81,52.0,202754.0,0.0857,0.871,0.545,0.0,0.0756,6.466,0.0,0.0625,96.035,4.0,0.415
82,82,61.0,178009.0,0.0646,0.8290000000000001,0.606,5.0,0.281,7.093,1.0,0.149,118.051,4.0,0.732
83,83,65.0,169251.0,0.149,0.8370000000000001,0.649,11.0,0.103,5.26,0.0,0.192,164.002,4.0,0.948
84,84,77.0,220826.0,0.1369999999999999,0.8170000000000001,0.635,5.0,0.245,5.719,0.0,0.138,103.029,4.0,0.777
85,85,95.0,217822.0,0.172,0.635,0.902,0.0,0.125,3.559,1.0,0.109,102.063,4.0,0.286
86,86,95.0,253390.0,0.099,0.816,0.726,5.0,0.372,3.998,0.0,0.129,136.048,4.0,0.65
87,87,74.0,217652.0,0.267,0.815,0.626,6.0,0.275,5.139,1.0,0.103,109.989,4.0,0.571
88,88,77.0,199095.0,0.398,0.7509999999999999,0.579,2.0,0.133,4.036,1.0,0.0321,105.031,4.0,0.349
89,89,45.0,185743.0,0.0749,0.736,0.906,4.0,0.12,1.49,0.0,0.0566,93.013,4.0,0.611
90,90,52.0,166253.0,0.00245,0.695,0.818,6.0,0.305,5.532,0.0,0.0482,102.976,4.0,0.599
91,91,38.0,234373.0,0.00323,0.5429999999999999,0.847,9.0,0.0551,3.574,1.0,0.0659,92.046,4.0,0.65
92,92,46.0,193846.0,0.271,0.841,0.841,9.0,0.108,4.288,1.0,0.0633,104.01,4.0,0.823
93,93,44.0,208800.0,0.425,0.777,0.546,7.0,0.0809,9.504,1.0,0.207,147.173,4.0,0.952
94,94,75.0,211437.0,0.102,0.84,0.789,1.0,0.309,4.695,0.0,0.0949,92.018,4.0,0.619
95,95,75.0,202853.0,0.181,0.831,0.713,1.0,0.0572,3.646,0.0,0.094,132.109,4.0,0.69
96,96,45.0,198386.0,0.0797,0.825,0.481,2.0,0.239,8.6,1.0,0.0396,121.046,4.0,0.761
97,97,53.0,224413.0,0.235,0.682,0.751,8.0,0.11,5.812,0.0,0.0675,129.937,4.0,0.708
98,98,38.0,218448.0,0.00694,0.799,0.616,5.0,0.283,4.599,0.0,0.0415,127.023,4.0,0.697
99,99,60.0,176702.0,0.196,0.921,0.965,1.0,0.323,1.396,1.0,0.178,120.902,4.0,0.507
100,100,39.0,133120.0,0.108,0.703,0.617,7.0,0.271,8.732,1.0,0.0731,123.159,4.0,0.435
101,101,88.0,201526.0,0.165,0.792,0.895,1.0,0.0501,3.112,0.0,0.0589,94.968,4.0,0.794
102,102,77.0,216689.0,0.0983,0.596,0.557,1.0,0.0565,7.522,0.0,0.134,133.247,5.0,0.661
103,103,68.0,226183.0,0.0705,0.746,0.738,9.0,0.043,3.67,1.0,0.207,94.808,4.0,0.63
104,104,46.0,215003.0,0.0079,0.493,0.825,8.0,0.129,4.056,1.0,0.0798,99.866,4.0,0.621
105,105,44.0,175239.0,0.0429,0.836,0.725,7.0,0.108,5.445,0.0,0.0571,126.035,4.0,0.76
106,106,37.0,161093.0,0.00436,0.701,0.779,11.0,0.121,4.657,0.0,0.0647,119.974,4.0,0.451
107,107,53.0,182224.0,0.149,0.871,0.563,10.0,0.0568,8.329,0.0,0.0795,91.998,4.0,0.62
108,108,65.0,215421.0,0.0507,0.65,0.801,7.0,0.0645,5.407,0.0,0.0723,166.16,4.0,0.74
109,109,68.0,196018.0,0.265,0.784,0.437,5.0,0.126,7.868,1.0,0.0509,90.003,4.0,0.47
110,110,59.0,204453.0,0.133,0.494,0.729,2.0,0.143,4.934,1.0,0.161,78.833,4.0,0.421
111,111,43.0,229038.0,0.0199,0.561,0.58,5.0,0.0619,5.612,1.0,0.0414,84.98,4.0,0.294
112,112,53.0,191906.0,0.369,0.483,0.685,10.0,0.0817,3.232,0.0,0.174,185.502,4.0,0.546
113,113,54.0,237860.0,0.0762,0.62,0.823,5.0,0.112,2.436,1.0,0.0567,175.921,4.0,0.404
114,114,84.0,217288.0,0.0185,0.7040000000000001,0.859,5.0,0.0215,4.877,0.0,0.0996,105.115,4.0,0.926
115,115,44.0,202574.0,0.586,0.633,0.765,1.0,0.0966,5.732,1.0,0.0474,100.934,4.0,0.489
116,116,40.0,167823.0,0.569,0.853,0.714,7.0,0.0716,6.177,1.0,0.0767,92.375,4.0,0.836
117,117,41.0,241135.0,0.0652,0.8,0.837,7.0,0.0699,4.488,1.0,0.099,105.026,4.0,0.813
118,118,37.0,194011.0,0.118,0.743,0.793,2.0,0.227,5.032,0.0,0.0546,109.921,4.0,0.434
119,119,79.0,236133.0,0.00249,0.6459999999999999,0.77,2.0,0.0715,6.596,0.0,0.226,99.165,4.0,0.681
120,120,74.0,267266.0,0.202,0.8909999999999999,0.714,4.0,0.0521,6.055,0.0,0.14,100.972,4.0,0.818
121,121,10.0,241933.0,0.159,0.745,0.666,9.0,0.302,5.899,1.0,0.0566,129.995,4.0,0.708
122,122,60.0,198813.0,0.0279,0.774,0.847,5.0,0.241,3.925,0.0,0.121,143.011,4.0,0.923
123,123,70.0,300026.0,0.342,0.672,0.832,11.0,0.242,2.388,0.0,0.342,117.298,4.0,0.549
124,124,79.0,250373.0,0.0183,0.894,0.791,2.0,0.0388,4.699,1.0,0.112,105.018,4.0,0.583
125,125,76.0,338853.0,0.071,0.375,0.862,11.0,0.0,3.363,0.0,0.255,159.841,4.0,0.478
126,126,84.0,218093.0,0.284,0.778,0.824,10.0,0.405,5.892,0.0,0.0712,100.024,4.0,0.756
127,127,77.0,216666.0,0.217,0.675,0.885,1.0,0.086,4.432,0.0,0.0436,97.03,4.0,0.768
128,128,84.0,239600.0,0.145,0.733,0.71,5.0,0.0956,5.849,0.0,0.0292,127.975,4.0,0.965
129,129,74.0,246026.0,0.132,0.775,0.719,7.0,0.0662,6.212,0.0,0.0435,117.513,4.0,0.712
130,130,73.0,202533.0,0.0653,0.421,0.873,10.0,0.123,4.343,1.0,0.0565,84.803,4.0,0.63
131,131,85.0,269560.0,0.922,0.422,0.264,8.0,0.132,7.064,1.0,0.0322,119.93,4.0,0.331
132,132,78.0,259933.0,0.154,0.468,0.64,0.0,0.154,5.862,1.0,0.0275,79.297,4.0,0.499
133,133,78.0,231240.0,0.00882,0.613,0.622,1.0,0.37,5.794,0.0,0.0334,80.003,4.0,0.484
134,134,69.0,245960.0,0.235,0.435,0.92,4.0,0.552,1.357,0.0,0.201,188.899,4.0,0.45
135,135,75.0,188960.0,0.00165,0.662,0.741,0.0,0.114,5.406,1.0,0.0334,131.0,4.0,0.404
136,136,76.0,235213.0,0.103,0.728,0.974,4.0,0.175,2.261,0.0,0.0665,79.526,4.0,0.965
137,137,71.0,199693.0,0.0746,0.755,0.832,2.0,0.291,2.741,0.0,0.116,120.032,4.0,0.735
138,138,71.0,223933.0,0.0439,0.764,0.694,11.0,0.18,5.745,0.0,0.189,146.075,4.0,0.581
139,139,77.0,242733.0,0.0584,0.967,0.583,7.0,0.0519,5.562,0.0,0.0789,117.0,4.0,0.964
140,140,69.0,252160.0,0.143,0.659,0.696,3.0,0.13,4.291,1.0,0.071,86.001,4.0,0.665
141,141,76.0,261426.0,0.173,0.63,0.698,10.0,0.0789,4.51,1.0,0.0244,94.023,4.0,0.529
142,142,65.0,237120.0,0.0142,0.8240000000000001,0.743,2.0,0.237,5.995,1.0,0.141,127.046,4.0,0.804
143,143,73.0,200400.0,0.031,0.61,0.926,8.0,0.0821,4.843,0.0,0.0479,172.638,4.0,0.861
144,144,77.0,244506.0,0.0572,0.585,0.776,5.0,0.3,5.898,1.0,0.0459,77.987,4.0,0.427
145,145,80.0,256733.0,0.235,0.6559999999999999,0.578,7.0,0.118,8.97,0.0,0.0922,94.514,4.0,0.556
146,146,73.0,238560.0,0.578,0.457,0.573,5.0,0.114,3.866,0.0,0.0275,76.193,4.0,0.0992
147,147,54.0,203306.0,0.00611,0.701,0.7,7.0,0.0295,4.934,1.0,0.0876,122.035,4.0,0.625
148,148,75.0,204160.0,0.0295,0.581,0.963,11.0,0.139,4.087,1.0,0.0981,129.992,4.0,0.788
149,149,69.0,198053.0,0.00761,0.7290000000000001,0.771,4.0,0.087,2.451,1.0,0.0725,125.011,2800000000.0,0.873
150,150,79.0,253813.0,0.03,0.649,0.552,1.0,0.111,5.419,0.0,0.0292,89.969,4.0,0.158
151,151,67.0,204000.0,6.790000000000001e-05,0.487,0.9,0.0,0.358,4.417,1.0,0.0482,149.937,4.0,0.484
152,152,76.0,224400.0,0.073,0.7240000000000001,0.695,11.0,0.0889,5.226,1.0,0.0622,139.0,4.0,0.235
153,153,75.0,252306.0,0.192,0.6709999999999999,0.939,8.0,0.298,3.206,1.0,0.161,129.023,4.0,0.529
154,154,72.0,193213.0,0.0383,0.426,0.584,1.0,0.188,5.293,1.0,0.296,193.437,4.0,0.272
155,155,81.0,262466.0,0.188,0.638,0.656,5.0,0.146,5.886,1.0,0.0357,104.036,4.0,0.225
156,156,63.0,242013.0,0.00727,0.8140000000000001,0.899,1.0,0.0979,5.958,1.0,0.0637,119.011,4.0,0.545
157,157,77.0,258826.0,0.0208,0.583,0.786,2.0,0.188,3.142,0.0,0.0301,123.052,4.0,0.573
158,158,78.0,270506.0,0.142,0.843,0.805,4.0,0.0771,5.946,0.0,0.269,94.946,4.0,0.615
159,159,72.0,211920.0,0.00498,0.711,0.7,1.0,0.215,4.805,0.0,0.046,128.001,4.0,0.801
160,160,62.0,254040.0,0.0533,0.524,0.904,8.0,0.776,2.071,1.0,0.398,161.188,4.0,0.655
161,161,77.0,211160.0,0.3,0.7509999999999999,0.834,1.0,0.355,5.444,0.0,0.0437,95.053,4.0,0.894
162,162,77.0,288333.0,0.575,0.624,0.653,8.0,0.104,6.582,0.0,0.176,73.884,4.0,0.565
163,163,77.0,248413.0,0.0426,0.794,0.811,6.0,0.101,8.966,0.0,0.038,116.047,4.0,0.862
164,164,75.0,249533.0,0.0161,0.68,0.687,9.0,0.261,6.162,0.0,0.0709,150.053,4.0,0.467
165,165,78.0,203786.0,0.042,0.944,0.511,5.0,0.0379,10.96,0.0,0.161,113.046,4.0,0.842
166,166,77.0,259333.0,0.00577,0.706,0.801,5.0,0.0822,6.333,1.0,0.0399,100.013,4.0,0.63
167,167,74.0,221360.0,0.407,0.53,0.422,5.0,0.107,6.262,1.0,0.0342,119.964,4.0,0.349
168,168,65.0,215160.0,0.000304,0.535,0.886,11.0,0.257,3.106,1.0,0.045,126.012,4.0,0.445
169,169,76.0,196160.0,0.236,0.7929999999999999,0.832,1.0,0.202,4.862,0.0,0.0406,107.661,4.0,0.872
170,170,69.0,244826.0,0.0825,0.655,0.488,1.0,0.221,9.17,1.0,0.22,91.025,4.0,0.791
171,171,67.0,192426.0,0.0407,0.636,0.873,0.0,0.0372,4.672,0.0,0.071,165.071,4.0,0.908
172,172,77.0,223440.0,0.257,0.662,0.507,5.0,0.0465,8.238,1.0,0.118,86.412,4.0,0.676
173,173,81.0,203346.0,0.00172,0.542,0.905,9.0,0.136,5.653,1.0,0.054,153.398,4.0,0.374
174,174,52.0,221920.0,0.0411,0.555,0.923,0.0,0.112,5.908,1.0,0.0482,116.012,4.0,0.682
175,175,60.0,236373.0,0.0204,0.591,0.699,8.0,0.0614,5.221,1.0,0.0449,116.029,4.0,0.733
176,176,65.0,252853.0,0.0328,0.396,0.629,9.0,0.183,4.78,1.0,0.0287,173.794,4.0,0.358
177,177,69.0,216600.0,0.0007379999999999,0.56,0.959,7.0,0.209,2.433,1.0,0.102,163.983,4.0,0.67
178,178,76.0,210200.0,0.263,0.653,0.609,11.0,0.233,7.519,0.0,0.037,95.982,3.0,0.482
179,179,79.0,230760.0,0.00552,0.276,0.715,0.0,0.201,5.356,1.0,0.0432,137.028,4.0,0.173
180,180,83.0,262533.0,0.269,0.64,0.743,10.0,0.101,4.08,1.0,0.0379,122.035,4.0,0.361
181,181,69.0,218520.0,0.255,0.63,0.894,10.0,0.181,4.592,1.0,0.0544,142.051,4.0,0.364
182,182,73.0,199946.0,0.271,0.519,0.749,6.0,0.119,3.318,0.0,0.0405,147.905,4.0,0.29
183,183,72.0,298853.0,0.107,0.64,0.889,2.0,0.339,3.073,1.0,0.322,99.931,4.0,0.436
184,184,31.0,224946.0,0.0251,0.815,0.808,6.0,0.12,4.614,1.0,0.0511,110.063,4.0,0.746
185,185,81.0,228706.0,0.603,0.609,0.445,7.0,0.104,9.129,1.0,0.106,118.393,3.0,0.166
186,186,67.0,209360.0,0.0392,0.551,0.696,2.0,0.127,6.192,1.0,0.0265,112.024,4.0,0.354
187,187,76.0,241853.0,0.0187,0.338,0.803,8.0,0.136,5.412,0.0,0.0413,151.994,4.0,0.4
188,188,63.0,221626.0,0.388,0.517,0.598,6.0,0.183,3.751,0.0,0.263,96.933,4.0,0.922
189,189,75.0,219493.0,0.254,0.583,0.584,5.0,0.123,5.362,0.0,0.0314,140.039,4.0,0.136
190,190,67.0,191666.0,0.00127,0.8059999999999999,0.902,11.0,0.212,3.387,0.0,0.0475,128.943,4.0,0.961
191,191,73.0,175093.0,0.0066599999999999,0.494,0.939,1.0,0.139,3.127,1.0,0.126,177.751,4.0,0.893
192,192,63.0,217760.0,0.0079099999999999,0.423,0.862,0.0,0.133,5.13,0.0,0.0695,154.746,4.0,0.462
193,193,68.0,234000.0,0.126,0.871,0.597,5.0,0.0638,4.932,0.0,0.0464,125.999,4.0,0.635
194,194,73.0,234173.0,0.512,0.584,0.7,6.0,0.13,4.251,1.0,0.0506,163.953,4.0,0.549
195,195,64.0,204853.0,0.017,0.423,0.922,3.0,0.102,2.602,1.0,0.0411,156.063,4.0,0.567
196,196,67.0,206520.0,0.00166,0.423,0.94,1.0,0.178,4.012,0.0,0.0635,149.934,4.0,0.505
197,197,78.0,249626.0,0.0206,0.647,0.729,5.0,0.134,6.251,1.0,0.0236,94.01,4.0,0.687
198,198,48.0,222000.0,0.327,0.521,0.431,0.0,0.0986,9.74,1.0,0.0293,106.546,4.0,0.181
199,199,68.0,251160.0,0.324,0.65,0.879,8.0,0.376,3.176,1.0,0.0328,105.015,4.0,0.899
200,200,24.0,275253.0,0.439,0.82,0.717,8.0,0.236,6.191,1.0,0.0722,104.005,4.0,0.843
201,201,67.0,207466.0,0.211,0.7559999999999999,0.8,5.0,0.047,5.158,1.0,0.0329,118.921,4.0,0.967
202,202,29.0,216706.0,0.0838,0.7509999999999999,0.731,6.0,0.0556,4.419,0.0,0.0308,97.007,4.0,0.973
203,203,66.0,215493.0,0.0893,0.7190000000000001,0.809,1.0,0.183,10.201,1.0,0.0511,100.839,4.0,0.964
204,204,63.0,267000.0,0.254,0.8109999999999999,0.88,8.0,0.0475,2.972,1.0,0.0628,124.12,4.0,0.915
205,205,71.0,243413.0,0.0426,0.723,0.777,7.0,0.0451,3.503,1.0,0.108,91.017,4.0,0.961
206,206,71.0,198786.0,0.078,0.6990000000000001,0.917,0.0,0.065,4.897,1.0,0.115,130.04,4.0,0.889
207,207,59.0,252933.0,0.141,0.782,0.874,2.0,0.112,7.157,1.0,0.0474,123.179,4.0,0.859
208,208,66.0,232880.0,0.622,0.585,0.977,1.0,0.328,3.57,1.0,0.0615,138.264,4.0,0.801
209,209,58.0,199316.0,0.833,0.7440000000000001,0.601,10.0,0.131,5.241,1.0,0.0349,143.542,4.0,0.905
210,210,11.0,277600.0,0.0306,0.5660000000000001,0.911,4.0,0.0574,9.458,0.0,0.0791,193.538,4.0,0.638
211,211,61.0,164120.0,0.455,0.5479999999999999,0.688,7.0,0.072,6.053,1.0,0.0372,179.842,4.0,0.813
212,212,84.0,218093.0,0.284,0.778,0.824,10.0,0.405,5.892,0.0,0.0712,100.024,4.0,0.756
213,213,77.0,189440.0,0.0179,0.774,0.687,11.0,0.128,4.818,0.0,0.0584,104.959,4.0,0.308
214,214,74.0,254720.0,0.419,0.8029999999999999,0.56,1.0,0.0608,6.912,0.0,0.0398,133.679,4.0,0.77
215,215,70.0,239400.0,0.135,0.82,0.937,5.0,0.35,4.81,0.0,0.0551,130.993,4.0,0.906
216,216,56.0,272546.0,0.743,0.696,0.728,7.0,0.0835,6.937,1.0,0.034,124.092,4.0,0.963
217,217,80.0,228200.0,0.208,0.659,0.802,2.0,0.123,4.79,1.0,0.148,177.936,4.0,0.863
218,218,54.0,203173.0,0.414,0.6709999999999999,0.884,6.0,0.0701,9.267,0.0,0.0586,119.574,4.0,0.933
219,219,60.0,443480.0,0.779,0.5820000000000001,0.61,11.0,0.267,6.641,0.0,0.103,93.658,4.0,0.826
220,220,77.0,192600.0,0.332,0.857,0.801,0.0,0.0789,6.499,1.0,0.0618,96.009,4.0,0.753
221,221,52.0,162213.0,0.337,0.816,0.416,5.0,0.0452,17.795,0.0,0.244,90.148,4.0,0.817
222,222,51.0,212893.0,0.00487,0.542,0.714,2.0,0.334,8.045,1.0,0.028,124.26,4.0,0.76
223,223,62.0,249506.0,0.422,0.927,0.721,8.0,0.0422,12.561,1.0,0.0908,103.018,4.0,0.965
224,224,57.0,172733.0,0.0699,0.348,0.751,0.0,0.208,12.823,1.0,0.0494,156.509,4.0,0.886
225,225,4.0,319560.0,0.318,0.522,0.526,2.0,0.116,6.361,1.0,0.0259,90.02,4.0,0.43
226,226,56.0,262160.0,0.0485,0.779,0.631,2.0,0.0349,5.314,1.0,0.115,97.927,4.0,0.663
227,227,65.0,212000.0,0.0854,0.748,0.835,7.0,0.0365,5.731,1.0,0.0351,142.942,4.0,0.896
228,228,74.0,343413.0,0.199,0.648,0.846,0.0,0.0803,6.731,1.0,0.0424,160.075,4.0,0.815
229,229,7.0,238680.0,0.0151,0.815,0.757,2.0,0.187,5.351,1.0,0.165,127.052,4.0,0.811
230,230,73.0,243160.0,0.00411,0.425,0.954,1.0,0.0555,3.756,0.0,0.0476,178.043,4.0,0.933
231,231,43.0,378373.0,0.112,0.5589999999999999,0.73,10.0,0.263,8.461,0.0,0.0639,106.806,4.0,0.778
